Datum,Ort,Land,Opfer,Bemerkungen,T,M,Q
4. Mai 1201,Katschberg,"Herzogtum Kärnten, heute Österreich",,Das früheste bekannte Erdbeben in Österreich.,8.0,61,[9][10]
20. Mai 1202,Nablus,"Islamisches Kalifat, heute Palästinensische Autonomiegebiete",30.000,"Das Erdbeben wurde in Armenien, Anatolien, im Iran, in Ägypten und zwischen Sizilien und Mesopotamien wahrgenommen. Die genaue Anzahl der Opfer ist unklar. Arabische Quellen sprechen von mehr als einer Million Toten in den Jahren 1201 und 1202. Diese Zahl schließt wahrscheinlich auch die mittelbaren Opfer von Seuchen und Hungersnöten (in der Folge des Erdbebens und anderer Ursachen) mit ein.",,"6,8–7,5",[11]
1219,Ningxia,China,10.000,,,,2
11. Mai 1222,Paphos,Königreich Zypern,,Das Erdbeben auf Zypern 1222 zerstörte Paphos und Limassol fast vollständig und löste im östlichen Mittelmeer einen Tsunami aus.,15.0,"7,0–7,5",[12][13]
25. Dez. 1222,Brescia,Italien,12.000,,,,2
8. Mai 1267,Kindberg,"Herzogtum Steiermark, heute Österreich",,,8.0,54,[9]
27. Sep. 1268,Adana,Königreich Kleinarmenien,60.000,,,,1/2
Aug. 1289,Peking,China,10.000,,,,2
27. Sep. 1290,"Chihli, Innere Mongolei",China,100.000,,,68,1/2
27. Mai 1293,Kamakura,Japan,23.024,,,,2
3. Sep. 1295,Churwalden,Schweiz,< 500,,12.0,65,
