Datum,Ort,Land,Opfer,Bemerkungen,T,M,Q
14. Feb. 1614,Trujillo,Peru,7.000,Seebeben,,86,2
25. Okt. 1622,Ningxia,China,12.000,,,70,2
28. Juni 1626,Shanxi,China,5.000,,,70,2
30. Juli 1626,Neapel,Italien,70.000 (?),,,,2
27. März 1638,"Cosenza, Martirano",Italien,19.000,,,,2
4. Mai 1639,Qazvin,Iran,12.000,,,,2
Feb. 1640,,Ecuador,5.000,,,,2
5. Feb. 1641,Täbriz,Iran,30.000,,,,2
11. Juni 1641,Caracas,Venezuela,etwa 200,erstes bekanntes Erdbeben in Caracas,,,
13. Mai 1647,Santiago de Chile,Chile,etwa 12.000,2/3 der Stadt wurden völlig verwüstet,,85,
30. Juli 1649,Tokio und Nikkō,Japan,,,,,
1650,Cuzco,Peru,,,,,
23. Feb. 1653,Izmir,"Osmanisches Reich, heute Türkei",8.000–15.000,Erdbeben in Izmir 1653,,,2
21. Juli 1654,Tianshui in Gansu,China,10.400,,,80,2
1656,Lima,Peru,11.000,,,,2
16. Juni 1662,,Mittel- und Süd-Japan,600,,,,2
6. Apr. 1667,Balkan,Kroatien,2.000–4.000,Erdbeben von Dubrovnik 1667,12.0,71,2
17. Dez. 1667,Schemacha (Kaukasus),Aserbaidschan,80.000,Erdbeben von Şamaxı 1667,,,1/2
25. Juli 1668,Tancheng in Shandong,China,>50.000,"Weitverbreitetes Auftreten von Erdbeben in China und Korea. Große Schäden in den Gebieten von Linyi und Ju in Shandong, Tancheng wurde komplett zerstört. Erdrutsche, Erdspalten, Sandvulkane. Noch in über 800 km Entfernung spürbar. Es gilt als das stärkste Erdbeben in Ostchina und das zweitstärkste Erdbeben in China.",36.0,85,[21]/2
10. Juli 1668,Anatolien,"Osmanisches Reich, heute Türkei",8.000–17.500,"Das Erdbeben in Nordanatolien 1668 an der Nordanatolischen Verwerfungszone, verursachte schwere Schäden in Bolu, Kastamonu, Samsun, Tokat und anderen Städten, mit tausenden Toten und viele Nachbeben. Es gilt als das stärkste Erdbeben in der Türkei.",,81,2
17. Juli 1670,Hall in Tirol,Tirol,9,Erdbeben im Inntal 1670,6.0,52,[9]
2. Sep. 1679,Sanhe und Pinggu in Hebei,China,13.162,,,80,2
20. Okt. 1687,Lima,Peru,5.000,,30.0,85,2
10. Juli 1688,Izmir,"Osmanisches Reich, heute Türkei",16.000,Erdbeben in Izmir 1688,,70,2
4. Dez. 1690,? Villach,"Friaul/Herzogtum Kärnten, heute Italien/Österreich",,"Erdstöße am späten Abend des 4. Dezember (ein Montag) und in den frühen Morgenstunden des Folgetages, die noch in Wien spürbar waren und in Venedig einige Kaminschlote zum Einsturz gebracht und leichte Schäden an einigen Kirchen verursacht haben sollen. Das Epizentrum lag vermutlich in der Nähe von Villach in Kärnten, von wo auch die stärksten Schäden (Einsturz einiger Häuser) überliefert sind.",8.0,61,[9][22]
7. Juni 1692,Port Royal,Jamaika,etwa 2.000,"Tsunami, Zerstörung weiter Teile von Port Royal",,,1
11. Jan. 1693,"Sizilien, Kalabrien",Italien,>60.000,"schweres Vorbeben am 9. Januar, Hauptbeben löste Tsunami aus, totale Zerstörung auf einer Fläche von mehr als 5600 km² im Osten Siziliens und im Südwesten Kalabriens",,"7,0–7,5",[23]
18. Mai 1695,Linfen,Shanxi,>27.000,"Zahlreiche Todesopfer, schwere Zerstörungen in Linfen und Pingyang",,80,[21]/2
