Datum,Ort,Land,Opfer,Bemerkungen,T,M,Q
26. Jan. 1700,"Pazifikküste des heutigen Oregon, Nordkalifornien, Washington und British Columbia","Vizekönigreich Neuspanien, heute USA, Kanada",,Kaskadien-Erdbeben von 1700: Tsunami bis Japan,,"8,7–9,2",3
14. Jan. 1703,Zentraler Apennin,Italien,40.000,Ein Nachbeben am 2. Februar forderte in L’Aquila weitere 5.000 Opfer,,,2
31. Dez. 1703,Bōsō,Japan,5.233,Beben südwestlich der Halbinsel Bōsō. Genroku-Erdbeben oder Erdbeben von Jeddo,,80,2
3. Nov. 1711,Abruzzen,Italien,15.000,,,,2
28. Okt. 1707,Nankaidō,Japan,40.000,,,84,2
1716,Algier,Algerien,20.000,"Erdbeben im Februar und im Mai; Unklar, welchem Beben wie viele Opfer zuzuschreiben sind",,,2
29. Sep. 1717,Antigua Guatemala,Guatemala,,Antigua Guatemala wurde zerstört,,"7,2–7,6",[24]
19. Juni 1718,"Tianshui, Tongwei",Gansu,73.000,"Erdrutsche und verbreitete Zerstörung in Tongwei, Ganyu, Jingning, Zhuanglang, Qin’an, Tianshui und anderen Regionen, fühlbar auch in Shanxi, Shaanxi und Henan",,75,1/2
26. Apr. 1721,Täbriz,Iran,40.000,,,77,2
1. Sep. 1721,Palermo,Italien,5.000,,,,2
18. Nov. 1727,Täbriz,Iran,77.000,,,,1
30. Dez. 1730,Hokkaidō,Japan,137.000,,,,2
11. Okt. 1737,Kalkutta,Indien,,"Dieses angebliche Beben ist historisch nicht hinreichend belegt. Es gibt angezweifelte Berichte von 300.000 Toten, tatsächlich lebten damals in Kalkutta aber nur 20.000 Menschen. Belegt ist nur ein Wirbelsturm und Überschwemmungen mit 3.000 Toten.",,,2/[25]
3. Jan. 1739,Pingluo und Yinchuan in Ningxia,China,50.000,"Schwere Zerstörungen in Pingluo, Xinqu und Baofen, Feuersbrünste. Noch in 900 km Entfernung spürbar.",,80,2/[26]
28. Okt. 1746,Gebiet von Lima,Peru,5.000,Tsunami zerstörte die Stadt Callao,,84,1
25. März 1749,Valencia,Spanien,5.000,,,,2
21. Juni 1752,,"Syrien, Israel",20.000,,,,2
2. Sep. 1752,Kairo,Ägypten,40.000,,,,2
7. Juni 1755,Kaschan,Iran,40.000,,,,1/2
1. Nov. 1755,"Lissabon und portugiesische Algarve, marokkanische Atlantikküste","Portugal, Marokko",70.000,Erdbeben von Lissabon 1755: Tsunami bis England,,87,1
9. Juli 1757,"São Jorge, Azoren",Portugal,1.053,"„Mandado de Deus“. Erdrutsche und Zerstörungen vor allem auf São Jorge, Todesopfer auch auf Pico, Tsunami",,"7,1–7,4",2/[27][28]
6. Aug. 1757,Syrakus,Italien,10.000,,,,2
6. Aug. 1757,"Tripoli, Baalbek","Libanon, Syrien",30.000,,,,2
27. Feb. 1768,Wiener Neustadt,Österreich unter der Enns,0,Für die damalige Zeit einmalige Schadensbeschreibung unter dem Hofmathematiker Joseph Anton Nagel.,9.0,50,[9][29]
3. Juni 1773,Santiago Atitlán,Guatemala,20.000,erneute Zerstörung der Stadt Antigua Guatemala,,,2
30. Jan. 1778,Kaschan,Iran,30.000,,,,2
8. Jan. 1780,Täbriz,Iran,100.000–200.000,,20.0,77,2
5. Feb. 1783,Kalabrien,Italien,30.000,"Erdbeben von Kalabrien 1783: Bebenserie vom 5. Februar bis 28. März, rund 300 Dörfer wurden zerstört",13.0,69,1/2
13. Mai 1784,Arequipa,Perú,383,Zerstörung der Stadt Arequipa,,80,2
23. Juli 1784,"Erzincan, Anatolien","Osmanisches Reich, heute Türkei",5.000,,,,2
6. Feb. 1794,Leoben,"Herzogtum Steiermark, heute Österreich",0,Gute Dokumentation durch eine „Augenscheins-Commission“.,8.0,47,[9]
4. Feb. 1797,"Quito, Riobamba, Latacunga, Ambato",Ecuador,40.000,,,73,2
4. Dez. 1797,"Cumaná, Cariaco",Venezuela,16.000,,,,2
