Datum,Ort,Land,Opfer,Bemerkungen,T,M,Q
14. September 1509,Istanbul,Osmanisches Reich,ca. 13.000,Erdbeben von Istanbul 1509,,72,[15]
26. März 1511,Balkan,Slowenien,6.000,"Auswirkungen in Venedig, Padua, Treviso, Udine und anderen Orten[16]",7.0,69,2
22. Juni 1522,Almería,Spanien,ca. 2000,"Erdbeben von Almería 1522: Almería wurde fast vollständig zerstört. Das Beben geht wahrscheinlich auf die sogenannte Carboneras Fault Zone (CFZ) zurück, eine „postorogene“ sinistrale transtensive Störungszone am Südostrand des Iberischen Kontinentalblocks. Sedimentstrukturen in Bohrkernen aus dem Golf von Almería und historische Dokumente weisen auf Tsunami-Ereignisse im westlichen Mittelmeer hin, die mit diesem Beben in Verbindung stehen könnten.",,"6,5–7,0",[17][18]
26. Januar 1531,Lissabon,Portugal,30.000,,,,2
2. Februar 1556,"Kreis Hua, Yueyang",Nordchina,ca. 830.000,Beim Erdbeben in Shaanxi 1556 sank ein Gebiet zwischen den Provinzen Shaanxi und Gansu ab. Das tödlichste Erdbeben der Menschheitsgeschichte.,,80,1
8. Februar 1570,Concepción (Chile),Chile,2.000,Erdbeben von Concepción 1570,,83,2
16. Dezember 1575,Valdivia,Chile,1.321,Erdbeben von Valdivia 1575,,85,2
2. Januar 1582,Arequipa,Peru,,,,,
18. Januar 1586,Ise,Japan,8.000,,,82,2
10. Juli 1586,Lima und Callao,Peru,22,"Erstes großes Erdbeben nach Stadtgründung, begleitet von Tsunami. Zerstörung von Lima und Callao, viele Verletzte, kaum Tote, da viele Menschen gleich zu Beginn ins Freie flüchten (9. Juli Ortszeit)",,"> 8,0",
15. September 1590,Ried am Riederberg,Österreich unter der Enns,mehrere,"Auch bekannt als „Neulengbacher Beben“. Das Beben mit den bisher stärksten Auswirkungen auf Wien, forderte mehrere Todesopfer. Das Ereignis geriet in jüngerer Zeit insbesondere im Zusammenhang mit der Volksabstimmung 1978 zum nahen Kernkraftwerk Zwentendorf in den Fokus der Öffentlichkeit. Es steht in Europa beispielhaft für die Erörterung von Standortsicherheitsfragen mithilfe der historischen Erdbebenforschung.",6.0,575,[9][19][20]
