Datum,Ort,Land,Opfer,Bemerkungen,T,M,Q
1831 v. Chr.,Berg Tai Shan in Shandong,China,,in den Bambusannalen dokumentiert,,,
464 v. Chr.,bei Sparta,Griechenland,ca. 20.000,,,,
426 v. Chr.,Golf von Euböa,Griechenland,,"Verwüstung zu beiden Seiten des Golfs, s. Erdbeben im Golf von Euböa 426 v. Chr., Tsunami, möglicherweise zwei Beben",,,
373 v. Chr.,vor Helike und Bura,Griechenland,,"Tsunami, beide Städte wurden ausgelöscht",,,
224 v. Chr.,Rhodos,Griechenland,,Der Koloss von Rhodos stürzt ein.,,,
217 v. Chr.,Alexandria,Ägypten,ca. 75.000,,,,
1. Juni 70 v. Chr.,"Zhucheng, Changle in Shandong",China,> 6.000,Erdbeben von Zhucheng und Changle in Shandong 70 v. Chr.,,"≥ 7,0",2
33 v. Chr.,,Römische Provinz Palästina,30.000,,,,2
17,,Lydien,,Plinius der Ältere und Tacitus erwähnten 13 zerstörte Städte,,,
5. Feb. 62,Pompeji,Italien,,Zerstörung von Pompeji und anderer Orte in Kampanien,,,2
76,Salamis,Zypern,,Große Zerstörungen in Salamis,,,[1]
13. Dez. 115,Antiochia (heute Antakya),"Römisches Reich, heute Türkei",~260.000,"Während des Erdbebens weilte Kaiser Trajan in Antiochia. Tausende starben, Trajan überlebte, s. Erdbeben von Antiochia 115",,75,
178 und 180,Smyrna (heute Izmir) und Pergamon (heute Bergama),"Römisches Reich, heute Türkei",,,,,
zwischen 243 und 250,Kaiseraugst,Schweiz,,teilweise Zerstörung der römischen Siedlung Augusta Raurica,,,
4. Jahrhundert,Petronell-Carnuntum,Niederösterreich,,"schwere Schäden, römische Stadt Carnuntum wird im 5. Jh. aufgelassen",,,
332,Salamis,Zypern,,Große Zerstörungen von Salamis,,,[1]
21. Juli 365,Antiochia (heute Antakya),"Oströmisches Reich, heute Türkei",40.000,Wahrscheinlich erste Zerstörung des Leuchtturmes von Pharos und Heraushebung der Küstenlinie Westkretas um bis zu 9 m; s. Erdbeben vor Kreta 365,,,2
Sep. 458,Antiochia (heute Antakya),"Oströmisches Reich, heute Türkei",80.000,,,,2
21. Mai 512,"Yuanping, Dai in Shanxi",China,5.310,Erdbeben zwischen Yuanping und Dai in Shanxi 512,,75,2
518,Sagalassos,"Oströmisches Reich, heute Türkei",,Zerstörung von Sagalassos am Fuße des Taurusgebirges,,,
20. Mai 526,Antiochia (heute Antakya),"Oströmisches Reich, heute Türkei",250.000,Erdbeben von Antiochia 526 (20.–29. Mai),,70,2
29. Nov. 528,Antiochia (heute Antakya),"Oströmisches Reich, heute Türkei",4.870,,,71,2
29. Nov. 533,Aleppo,Syrien,130.000,,,,2
565,Antiochia (heute Antakya),"Oströmisches Reich, heute Türkei",30.000,,,,2
31. Okt. 588,Antiochia (heute Antakya),"Oströmisches Reich, heute Türkei",60.000,,,,2
Mitte des 7. Jahrhunderts,Sagalassos,"Oströmisches Reich, heute Türkei",,endgültige Zerstörung von Sagalassos,,,
26. Apr. 662,Damghan und Qumis,Iran,40.000,,,,2
23. März 734,Tianshui in Gansu,China,ca. 40.000,Erdbeben nahe Tianshui in Gansu 734,,"> 7,0",[2]
